trade_id,symbol,side,entry_price,position_size,entry_time,exit_price,exit_time,exit_reason,pnl,trade_type,execution_status,rejection_reason,news_title,news_confidence,combined_confidence,finbert_score,keyword_score,topic,technical_confidence,liquidity_score,momentum_score,volume_score,rsi,price_trend,bid_ask_spread,market_regime,market_stress,time_score,entry_timing
T20250603_080132_0001,CME,long,290.26998,4000.0,2025-06-03T12:01:32.218239+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,"CME Group Sets New May ADV Record of 28.9 Million Contracts, Up 11% Year Over Year",0.9514443278312683,0.564287961877755,0.9328697919845581,0.0,general,0.4536751715006584,0.6950859603029831,0.1733257859183964,0.37822363929353836,71.66572323979955,strong_uptrend,0.007025436926804048,neutral,0.25,0.1,recommendation_logged
T20250603_080132_0002,MSFT,long,462.13167,4000.0,2025-06-03T12:01:32.220849+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Microsoft to pay dividends on June 12; Here's how much 100 MSFT shares will earn,0.9517630338668823,0.4710493235605889,0.9335052967071533,0.0,general,0.3969132498667303,0.5925480462291325,0.17698549566739655,0.001370115572831201,72.12318695842457,uptrend,0.001,neutral,0.25,0.1,recommendation_logged
T20250603_080132_0003,RCI,long,26.856829999999995,4000.0,2025-06-03T12:01:32.223617+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,"Proven Hits Return to Citytv & Citytv+; The Price is Right Tonight with Host Howie Mandel, Coming Spring 2026",0.7596270442008972,0.45716245263300137,0.22121849656105042,0.0,general,0.4973087896433768,0.627103690405312,0.10106194799801899,0.6488913014849779,62.63274349975237,strong_uptrend,0.02905660377358489,neutral,0.25,0.1,recommendation_logged
T20250603_080132_0004,AMD,short,114.83505000000001,4000.0,2025-06-03T12:01:32.226400+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,3 Artificial Intelligence (AI) Stocks to Buy If You're Bullish on a 2025 Rebound,0.9662641882896423,0.4561012767422635,-0.952857255935669,0.0,general,0.28834009921185594,0.5926209124227457,0.09798948860383484,0.0015522810568642813,62.248686075479355,strong_uptrend,0.001,neutral,0.25,0.1,recommendation_logged
T20250603_080132_0005,AMZN,short,206.01378,4000.0,2025-06-03T12:01:32.229301+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,"2 ""Magnificent Seven"" Stocks Down 9% and 15% You'll Regret Not Buying on the Dip",0.94107586145401,0.4527024563489672,-0.9060748815536499,0.0,general,0.31348095858708946,0.5920912696003682,0.0961928725593192,0.0015646108159722816,62.0241090699149,uptrend,0.0010668218407525888,neutral,0.25,0.1,recommendation_logged
T20250603_080132_0006,CRDO,long,72.35228,4000.0,2025-06-03T12:01:32.231681+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Credo Technology Q4 Earnings - Winning More Hyperscaler Love,0.9459599256515503,0.4506855876776578,0.9351245164871216,0.0,earnings,0.2740593871167511,0.596778221855776,0.1556572953524151,0.041862359963897235,69.45716191905188,strong_uptrend,0.002495840266222859,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0001,SNY,long,49.0053564,5527.1679016014095,2025-06-03T13:05:07.522507+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Press Release: ASCO: new Sarclisa data support subcutaneous administration with on-body injector,0.942155122756958,0.7918012041483924,0.9179825186729431,0.0,biotech,0.3831305168186973,0.7033753550174477,-0.09205301106247157,0.2784383875436193,38.493373617191054,downtrend,0.001,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0002,DLTR,short,94.3055001,5208.914092036555,2025-06-03T13:05:07.525273+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Can Dollar Tree Deliver In Its Next Earnings?,0.974871814250946,0.785352359990187,-0.9644643664360046,0.0,earnings,0.31801211429936216,0.576631077937581,0.14009371129580858,0.00952545999949056,67.51171391197607,strong_uptrend,0.0033973882577769125,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0003,JNJ,long,155.03488,5750.091551535288,2025-06-03T13:05:07.528414+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Johnson & Johnson leads with first PARP inhibitor combo to improve efficacy in patients with HRR-altered mCSPC,0.9482772946357727,0.7776959885942294,0.924471378326416,0.0,biotech,0.32795023579973437,0.4793014230271666,0.05013232330214425,0.0,56.26654041276803,uptrend,0.002587322121604177,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0004,APH,long,90.62052999999999,5375.694877286333,2025-06-03T13:05:07.530479+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Buy 5 High-Flying Growth Stocks to Maximize Your Returns in June,0.947400689125061,0.7767748414432447,0.9243234395980835,0.0,earnings,0.32604855264406746,0.4316694398225184,0.2653602812573877,0.0,83.17003515717346,strong_uptrend,0.008541320022185201,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0005,PAYX,short,157.3425,5558.496706955778,2025-06-03T13:05:07.532107+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,U.S. SMALL BUSINESS JOB GROWTH REMAINS LARGELY UNCHANGED IN MAY,0.948375940322876,0.7745655589964335,-0.916225016117096,0.0,earnings,0.3173839428909438,0.35342333654773417,0.10669927358211675,0.0,63.33740919776459,uptrend,0.018322082931533232,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0006,BAC,long,44.023979999999995,4917.188852883948,2025-06-03T13:05:07.533814+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,"Winnow Team Named ""Tech Team of the Year"" at Banking Tech Awards USA 2025",0.9212066531181335,0.7718367149457077,0.9090395569801331,0.0,market_event,0.3445135123281811,0.49089874857793003,0.14190074130652067,0.0,67.73759266331508,uptrend,0.0011376564277587522,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0007,META,long,671.1705,4993.684530353525,2025-06-03T13:05:07.535695+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Why Meta Platforms Stock Jumped 18% in May,0.9525513052940369,0.7715978762840294,0.9304848909378052,0.0,earnings,0.30192451388804914,0.5946757906210244,0.1737818614170699,0.006689476552560892,71.72273267713373,strong_uptrend,0.001,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0008,RTX,long,137.81768,4743.296268165457,2025-06-03T13:05:07.537788+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,RTX's Raytheon awarded $536 million US Navy contract for SPY-6 family of radars,0.9252281785011292,0.7669919127893912,0.9139850735664368,0.0,general,0.3230021379631316,0.47381818181818247,0.12636426451529567,0.0,65.79553306441196,strong_uptrend,0.0032727272727271902,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0009,TWLO,long,119.22910999999999,4324.435329439094,2025-06-03T13:05:07.539344+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Twilio: Improving Customer Monetization (Rating Upgrade),0.9544966220855713,0.7666352225290665,0.9410885572433472,0.0,analyst,0.2827885789827929,0.44693980354294316,0.17828161487505237,0.0,72.28520185938154,strong_uptrend,0.0066325245571321155,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0010,CME,long,291.29099999999994,4864.1963414746,2025-06-03T13:05:07.540866+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,"CME Group Sets New May ADV Record of 28.9 Million Contracts, Up 11% Year Over Year",0.9514443278312683,0.766221257492725,0.9328697919845581,0.0,market_event,0.28547842120072564,0.38652067652047084,0.1733257859183964,8.781346764349571e-05,71.66572323979955,strong_uptrend,0.014189306108323318,neutral,0.25,0.1,recommendation_logged
T20250603_090507_0011,ACN,long,313.313,5453.629123730944,2025-06-03T13:05:07.542648+00:00,,,,,RECOMMENDATION,PENDING,MARKET_CLOSED,Accenture to Strengthen Its Engineering Capabilities for the Aerospace and Defense Industry with Acquisition of SIPAL's Integrated Product Support Bus,0.934745192527771,0.7651797399256215,0.9233774542808533,0.0,ma,0.30427220971504343,0.4616,0.043315723907374266,0.0,55.41446548842178,sideways,0.0048,neutral,0.25,0.1,recommendation_logged
